4,MOLIDA ESP,1,2,102,0.23,192.0,44.16,44.16
28,BISTEC REBANADO,1,2,102,0.15,135.0,20.25,20.25
3,BISTEC RES,1,3,102,0.21,192.0,40.32,40.32
3,BISTEC RES,1,3,102,0.2,192.0,38.4,38.4
3,BISTEC RES,1,3,102,0.2,192.0,38.4,38.4
3,BISTEC RES,1,3,102,0.21,192.0,40.32,40.32
3,BISTEC RES,1,3,102,0.2,192.0,38.4,38.4
28,BISTEC REBANADO,1,2,102,0.63,135.0,85.05,85.05
70,TOCINO,2,2,102,0.63,175.0,110.25,110.25
79,CUERO CERDO,2,2,102,0.63,58.0,36.54,36.54
74,CABEZA,2,2,102,0.63,32.0,20.16,20.16
66,ESPINAZO,2,2,102,0.63,71.0,44.73,44.73
66,ESPINAZ,2,3,102,0.25,71.0,17.75,17.75
52,PAPAS G,3,2,104,0.28,97.0,27.16,27.16
45,MILANESA P,3,2,102,0.28,175.0,49.0,49.0
1,HUEVO,3,2,102,0.28,38.0,10.64,10.64
632,MOLIDA POLLO,3,2,102,1.0,178.0,178.0,178.0
634,DEDOS DE QUESO,3,2,102,0.28,225.0,63.0,63.0
47,NUGGET,3,2,102,0.42,103.0,43.26,43.26
394,ALAMBRE,1,1,102,0.24,145.0,34.8,34.8
22,COLA D RES,1,3,102,0.24,120.0,28.8,28.8
317,CORAZON D RES,1,2,102,0.24,70.0,16.8,16.8
12,ARRACHERA NT,1,2,102,0.24,205.0,49.2,49.2
6,COCIDO SURTIDO,1,2,102,0.24,149.0,35.76,35.76
12,ARRACHERA NT,1,1,105,0.24,205.0,49.2,49.2
16,ARRACHERA M,1,3,101,0.24,205.0,49.2,49.2
409,CABRERIA,1,3,104,2.78,270.0,750.6,750.6
25,COSTILLA RES MARINADA,1,2,104,0.12,160.0,19.2,19.2
73,MOLIDA CERDO,2,2,104,0.12,117.0,14.04,14.04
11,CHAMBARETE,1,2,104,0.12,149.0,17.88,17.88
22,COLA DE RES,1,2,104,0.11,120.0,13.2,13.2
22,COLA DE RES,1,2,104,0.11,120.0,13.2,13.2
409,CABRERIA,1,1,102,0.17,270.0,45.9,0.0
10,TRIPA DE RES,1,1,102,2.94,94.0,276.36,276.36
